"effect_size","p_value"
-0.00773235592289354,7.22706905096974e-10
-0.00693152646942688,0
6.83497604910184e-05,0.0361381216772334
-8.91271916419112e-05,0.52059732756331
-0.000221077032485956,0.0349564819639406
-4.52798813060866e-05,0.528451004755881
-0.000292534717669579,0.607678383700272
9.17683304472624e-05,0.806419348817
0.000298767220981655,0.127671814432921
5.70692353847393e-05,0.00367206843627752
5.04025277140833e-05,0.00310445013312515
0.000218699534708794,1.33138550231056e-11
5.96063195688082e-05,0.0025911550495399
