"effect_size","p_value"
0.242259549126346,5.80551215783797e-48
-0.0400685261370652,5.63206752299868e-85
0.00443525640574764,4.53017661944334e-40
-6.64799775784042e-05,0.971076031074113
-0.00140503482130231,0.317524525768325
0.00239586138475086,0.0132609561746514
0.0085915847217779,0.263171466664769
0.00129478881016875,0.7974775760138
-0.00350888771109729,0.164798467694048
0.00347694683665055,4.28072091975281e-39
0.00435310460888794,3.21341393805829e-78
0.000513317970200256,0.23711552390764
0.00455667852476548,5.02545636253571e-64
