"effect_size","p_value"
0.00141896433551282,0.938768454459993
0.000668123550557582,0.767236549723592
-0.000542650580986005,0.144708023321685
0.00346251949190581,0.0920240001306028
0.00527332501347632,0.000820687483193569
0.000483134786506807,0.655775315438946
0.000925104236791988,0.914386206871097
0.0113731321387484,0.0443447019280049
-0.00230405573766746,0.41569016427181
0.000557078836122533,0.0593833298020673
-0.000726778932611428,0.00457897559358301
-0.00169060258398048,0.000515809856293727
0.00265087288502922,8.26671934383176e-19
