"effect_size","p_value"
0.00650715044680513,5.1051537710947e-14
0.00313014288255781,1.45862346340506e-178
0.000124497823340432,3.01886451408667e-08
0.000184464176427425,0.0533206246921767
0.000115435092703968,0.109443314702249
0.000129412509642091,0.00884722971407503
7.46730581233484e-05,0.848927486080477
0.000103371826949135,0.688256841434346
0.000262108422714039,0.0520871059176747
0.000105863284834159,5.62213242264537e-15
5.93911074804949e-05,4.17800182189024e-07
0.000176881986293752,1.92270323095011e-15
9.82442154294659e-05,5.95035880663842e-13
