,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0015291,1,0,0,1,0,0,2,0,2
GO:0015293,0,0,0,0,0,0,2,0,1
GO:0022853,1,0,0,1,0,0,2,0,2
GO:0046873,2,1,0,1,0,0,3,0,1
GO:0015294,0,0,0,0,0,0,1,0,1
GO:0015081,0,0,0,1,0,0,0,0,1
GO:0015144,1,0,0,0,0,0,1,0,0
GO:0051179,20,4,7,0,0,12,15,1,6
GO:0051234,22,4,6,0,0,7,13,1,5
GO:0006810,18,3,6,0,0,6,12,1,5
GO:0071702,8,2,4,0,0,3,6,0,3
GO:0055085,5,0,0,0,0,3,3,1,1
GO:0034219,0,1,0,0,0,0,1,0,0
GO:0015749,0,0,0,0,0,1,0,0,0
GO:0008645,0,0,0,0,0,1,0,0,0
GO:0031982,16,5,3,0,0,4,12,5,3
GO:0005576,17,3,3,0,0,5,12,5,6
GO:1903561,12,0,3,0,0,2,5,3,2
GO:0065010,11,0,3,0,0,2,5,3,2
GO:0043230,11,0,3,0,0,2,5,3,2
GO:0070062,12,0,2,0,0,2,5,3,2
GO:0005615,14,2,2,0,0,3,10,3,2
GO:0070013,51,2,9,1,0,27,35,9,10
GO:0043233,51,2,9,1,0,27,35,9,10
GO:0031974,51,2,9,1,0,27,35,9,10
GO:0031981,41,0,8,1,0,26,30,9,10
GO:0003677,17,4,5,0,0,8,9,3,1
GO:0010467,9,2,2,0,0,7,11,2,4
GO:1901576,12,3,3,1,0,4,9,2,5
GO:0044249,12,2,3,1,0,5,8,2,4
GO:0009058,11,3,3,1,0,4,9,2,5
GO:1901362,6,1,3,0,0,3,6,2,0
GO:0044271,9,1,2,0,0,4,6,2,0
GO:0034654,5,1,2,0,0,2,4,2,0
GO:0019438,6,1,3,0,0,3,5,3,0
GO:0018130,7,1,3,0,0,3,5,2,0
GO:0009059,7,2,2,0,0,3,6,1,2
GO:0097659,4,1,2,0,0,2,3,1,0
GO:0032774,4,1,2,0,0,2,3,1,0
GO:0006366,4,1,2,0,0,2,3,1,0
GO:0006351,4,1,2,0,0,2,3,1,0
GO:0032502,60,7,19,4,1,35,38,22,25
GO:0032501,58,9,12,4,1,40,38,16,27
GO:0048856,53,6,16,3,1,30,33,18,22
