,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0008233,1,0,0,0,0,1,2,0,0
GO:0019538,21,4,4,0,0,8,12,1,3
GO:0030163,1,0,0,0,1,1,0,0,1
GO:0043621,1,0,0,0,0,1,1,0,0
GO:0031975,8,4,0,0,0,2,4,4,2
GO:0031967,8,4,0,0,0,2,4,4,2
GO:0005635,6,2,0,0,0,2,3,3,0
GO:0031965,1,0,1,0,0,0,1,0,0
GO:0019866,1,2,0,0,0,0,1,0,2
GO:0005637,1,0,0,0,0,0,1,0,0
GO:0016741,1,0,0,0,0,0,0,0,0
GO:0008168,1,0,0,0,0,0,0,0,0
GO:0008173,0,0,0,0,0,0,1,0,0
GO:0032259,1,0,1,0,0,0,1,0,2
GO:0043414,2,0,1,0,0,0,2,0,1
GO:0001510,0,0,0,0,0,0,0,0,1
GO:0022613,1,0,0,0,0,0,1,0,0
GO:0042254,1,0,0,0,0,0,1,0,0
GO:0016072,1,0,0,0,0,0,1,0,0
GO:0006364,1,0,0,0,0,0,1,0,0
GO:0005694,11,1,2,0,0,1,8,1,1
GO:0008514,5,0,1,0,0,2,4,0,0
GO:0015711,8,0,0,0,0,1,4,0,1
GO:0098590,8,1,0,0,0,1,5,0,1
GO:0007049,13,1,2,0,0,3,10,2,4
GO:0022402,11,1,0,0,0,3,7,2,2
GO:0007059,3,0,0,0,0,0,1,0,1
GO:1904892,2,1,0,0,0,0,2,0,0
GO:0046425,1,1,0,0,0,0,1,0,0
GO:0005102,7,0,1,1,0,1,3,5,1
GO:0098772,9,2,0,0,0,4,3,4,8
GO:0140677,6,2,0,0,0,3,4,5,5
GO:0048018,4,0,0,0,0,0,3,0,0
GO:0030546,4,0,0,0,0,0,3,0,0
GO:0030545,3,0,0,0,0,0,3,0,1
GO:0019787,1,0,0,0,0,0,2,0,2
GO:0004842,4,0,0,0,0,0,4,1,1
GO:0098791,4,1,1,0,0,0,1,0,1
GO:0005802,4,1,1,0,0,0,1,0,1
GO:0005795,1,0,0,0,0,0,0,0,1
GO:0061630,1,0,0,0,0,0,1,0,0
GO:0042277,2,2,2,0,0,0,0,1,2
GO:0033218,3,2,2,0,0,0,1,1,2
GO:0000785,5,1,1,0,0,0,4,1,0
GO:0140678,8,1,0,0,0,4,1,1,1
GO:0030234,7,2,0,0,0,5,2,3,6
GO:0004857,5,0,0,0,0,3,0,0,1
GO:0061134,3,0,0,0,0,1,1,0,0
GO:0030414,2,0,0,0,0,1,0,0,0
GO:0061135,2,0,0,0,0,1,0,0,0
GO:0004866,2,0,0,0,0,1,0,0,0
GO:0009790,11,1,0,0,0,5,3,2,9
GO:0048598,4,0,0,0,0,2,1,2,1
GO:0060485,6,0,0,0,0,1,1,0,1
GO:0009792,5,0,1,0,0,4,3,0,2
GO:0048568,3,0,0,0,0,3,0,0,1
GO:0048706,1,0,0,0,0,1,0,0,1
GO:0048705,1,0,0,0,0,2,0,0,1
GO:0048704,1,0,0,0,0,1,0,0,1
GO:0048562,3,0,0,0,0,2,0,0,1
GO:0043009,5,0,1,0,0,3,2,0,2
GO:0001501,6,1,0,0,0,4,3,0,1
GO:1904888,1,0,0,0,0,1,0,0,1
GO:0048864,2,0,0,0,0,1,0,0,1
GO:0048863,2,0,1,0,0,1,1,0,1
GO:0048762,4,0,0,0,0,1,1,0,1
GO:0048703,1,0,0,0,0,0,0,0,1
GO:0048701,1,0,0,0,0,1,0,0,1
GO:0014033,2,0,0,0,0,1,0,0,1
GO:0014032,2,0,0,0,0,1,0,0,1
GO:0097729,2,0,1,0,0,0,1,0,0
GO:0036126,2,0,1,0,0,0,1,0,0
GO:0031514,1,0,0,0,0,0,0,0,0
GO:0001520,1,0,0,0,0,0,0,0,0
GO:0031012,3,0,2,0,0,1,2,1,0
GO:0030312,3,0,3,0,0,1,2,1,0
GO:0030165,0,0,0,0,0,0,0,0,1
GO:0032879,10,5,0,2,0,2,9,2,1
GO:0044057,2,2,0,0,0,1,0,0,0
GO:0051049,10,5,1,1,0,5,9,2,1
GO:0031644,1,1,0,0,0,0,0,0,0
GO:0099177,1,1,1,0,0,0,0,0,1
GO:0050804,1,1,1,0,0,0,0,0,1
GO:0048167,1,1,1,0,0,0,0,0,0
GO:0048168,1,1,0,0,0,0,0,0,0
GO:0034762,4,3,0,1,0,1,5,1,0
GO:0032412,2,2,0,0,0,1,3,1,0
GO:0032409,2,2,0,0,0,1,3,1,0
GO:0022898,2,2,0,0,0,1,3,1,0
GO:0045202,8,3,1,0,0,3,5,0,1
GO:0098978,1,0,0,0,0,1,1,0,0
GO:0098794,1,2,0,0,0,0,1,0,0
GO:0099572,1,2,0,0,0,0,1,0,0
GO:0098984,1,2,0,0,0,0,1,0,0
GO:0032279,1,2,0,0,0,0,1,0,0
GO:0014069,1,2,0,0,0,0,1,0,0
GO:0099634,0,1,0,0,0,0,0,0,0
GO:0098878,1,1,1,0,0,1,0,0,0
GO:0098839,0,1,0,0,0,0,0,0,0
GO:0097060,0,1,0,0,0,0,0,0,0
GO:0045211,0,1,0,0,0,0,0,0,0
GO:0031253,2,0,0,0,0,0,1,0,0
GO:0031252,1,0,0,0,0,2,1,0,0
GO:0042592,8,0,0,0,0,1,7,2,3
GO:0055080,2,0,0,0,0,0,2,1,3
GO:0050801,2,0,0,0,0,0,2,1,3
GO:0048878,4,0,0,0,0,0,3,2,3
GO:0019725,3,0,0,0,0,0,2,2,2
GO:0055082,3,0,0,0,0,0,2,2,2
GO:0030003,2,0,0,0,0,0,2,1,2
GO:0006873,2,0,0,0,0,0,2,1,2
GO:0006885,1,0,0,0,0,0,0,0,1
GO:0051453,1,0,0,0,0,0,0,0,1
GO:0051452,1,0,0,0,0,0,0,0,1
GO:0030641,1,0,0,0,0,0,0,0,1
GO:0004033,1,0,0,0,0,0,0,0,0
GO:0090287,2,0,0,0,0,0,2,0,0
GO:0051128,24,1,1,0,0,4,12,1,6
GO:0042127,8,4,1,1,0,2,7,0,0
GO:0033043,10,0,0,0,0,2,6,0,2
GO:2000147,5,1,0,0,0,0,3,0,3
GO:2000145,6,1,0,0,0,0,4,0,4
GO:0051493,2,0,0,0,0,0,1,0,1
GO:0051235,0,0,0,0,0,0,1,0,0
GO:0040017,5,1,0,0,0,0,3,0,4
GO:0040012,7,1,0,0,0,0,4,0,6
GO:0030335,5,1,0,0,0,0,3,0,3
GO:0030334,6,1,0,0,0,0,4,0,4
GO:0010876,1,0,0,0,0,0,0,0,1
GO:0016788,2,0,1,0,0,2,2,1,0
GO:0140097,1,0,0,0,0,0,1,0,0
GO:0004518,0,0,0,0,0,1,0,0,0
GO:0004519,0,0,0,0,0,1,0,0,0
GO:0005773,8,3,1,0,0,2,2,0,3
GO:0000323,7,2,1,0,0,2,1,0,3
GO:0005764,6,2,1,0,0,2,1,0,3
GO:0004672,1,1,0,0,0,3,1,0,0
GO:0004674,3,1,0,0,0,8,3,0,3
GO:0019205,2,0,0,0,0,1,0,0,2
GO:0055086,4,0,0,0,0,0,1,1,0
GO:0004797,1,0,0,0,0,1,0,0,0
GO:0009116,0,0,0,0,0,0,0,0,1
GO:0072527,1,0,0,0,0,1,0,0,0
GO:0016790,2,0,0,0,0,0,2,0,1
GO:0043603,5,0,0,0,0,2,4,0,0
GO:0044283,3,0,0,0,0,1,1,0,2
GO:0032787,5,0,0,0,0,2,1,1,1
GO:0009117,3,0,0,0,0,0,1,0,0
GO:0006753,4,0,0,0,0,0,1,0,0
GO:0019693,1,0,0,0,0,1,1,0,0
GO:0009259,1,0,0,0,0,1,1,0,0
GO:0072521,5,0,0,0,0,2,2,0,0
GO:0006790,0,0,0,0,0,1,0,0,1
GO:0006163,5,0,0,0,0,2,2,0,0
GO:0009150,1,0,0,0,0,1,1,0,0
GO:0034032,0,0,0,0,0,0,0,0,1
GO:0033875,0,0,0,0,0,0,0,0,1
GO:0033865,0,0,0,0,0,0,0,0,1
GO:0006631,4,0,0,0,0,0,0,0,0
GO:0046394,1,0,0,0,0,0,0,0,1
GO:0016053,1,0,0,0,0,0,0,0,1
GO:0072330,1,0,0,0,0,0,0,0,0
GO:0006633,2,0,0,1,0,0,0,0,0
GO:0016042,4,0,0,0,0,1,2,0,0
GO:1901568,1,0,0,0,0,0,0,0,0
GO:0035337,1,0,0,0,0,0,0,0,0
GO:0046434,0,0,0,0,0,0,0,0,1
GO:1901292,0,0,0,0,0,0,0,0,1
GO:1901136,2,0,0,0,0,0,2,0,1
GO:1901569,1,0,0,0,0,0,0,0,0
GO:0072523,0,0,0,0,0,0,0,0,1
GO:0044273,1,0,0,0,0,0,0,0,0
GO:0036115,1,0,0,0,0,0,0,0,0
GO:0009261,0,0,0,0,0,0,0,0,1
GO:0009166,0,0,0,0,0,0,0,0,1
GO:0009154,0,0,0,0,0,0,0,0,1
GO:0006195,0,0,0,0,0,0,0,0,1
GO:1901293,2,0,0,0,0,0,1,1,0
GO:0009165,1,0,0,0,0,0,1,1,0
GO:0046390,1,0,0,0,0,0,1,0,0
GO:0009260,1,0,0,0,0,0,1,0,0
GO:0072522,1,0,0,0,0,0,1,1,1
GO:0051792,1,0,0,0,0,0,0,0,0
GO:0051791,1,0,0,0,0,0,0,0,0
GO:0036114,1,0,0,0,0,0,0,0,0
GO:0036112,1,0,0,0,0,0,0,0,0
GO:0034033,0,0,0,0,0,0,0,0,1
GO:0034030,0,0,0,0,0,0,0,0,1
GO:0033866,0,0,0,0,0,0,0,0,1
GO:0015937,0,0,0,0,0,0,0,0,1
GO:0015936,0,0,0,0,0,0,0,0,1
GO:0009152,1,0,0,0,0,0,1,0,1
GO:0006164,1,0,0,0,0,0,1,1,1
GO:0016192,4,0,3,0,0,3,1,0,4
GO:0140352,4,0,3,0,0,1,0,1,1
GO:0046903,5,0,3,0,0,1,1,0,1
GO:0032940,4,0,3,0,0,1,0,0,1
GO:0006887,0,0,1,0,0,0,0,0,0
GO:0007166,11,1,2,0,0,3,8,2,0
GO:0030027,1,0,0,0,0,1,0,0,0
GO:0015629,0,0,0,0,0,2,1,1,0
GO:0042578,1,0,1,0,0,1,0,1,0
GO:0016791,1,0,1,0,0,1,0,1,0
GO:0004721,1,0,1,0,0,1,1,1,0
GO:0004725,0,0,0,0,0,0,0,1,0
GO:0006022,1,0,0,0,0,0,1,0,1
GO:0006023,0,0,0,0,0,0,0,0,1
GO:0030203,1,0,0,0,0,0,1,0,1
GO:0006024,0,0,0,0,0,0,0,0,1
GO:1903510,1,0,0,0,0,0,1,0,1
GO:0030212,1,0,0,0,0,0,1,0,0
GO:0006508,2,0,0,0,1,2,3,1,1
GO:0051603,0,0,0,0,1,1,0,0,1
GO:0043632,0,0,0,0,1,1,0,0,0
GO:0019941,0,0,0,0,1,1,0,0,0
GO:0006511,0,0,0,0,1,0,0,0,0
GO:1905368,0,0,0,0,0,0,1,0,0
GO:0004930,0,0,1,0,0,1,0,1,0
GO:0061024,2,0,0,0,0,1,1,0,0
GO:0045184,3,1,1,0,0,1,2,0,1
GO:0033365,1,0,0,0,0,1,2,0,0
GO:0010256,0,0,0,0,0,2,1,0,0
GO:0072657,0,1,0,0,0,1,1,0,0
GO:0051668,0,1,0,0,0,1,1,0,0
GO:0007029,0,0,0,0,0,1,0,0,0
GO:0050821,1,1,0,0,0,0,2,0,0
GO:0031647,3,1,0,0,0,1,2,0,2
GO:0140534,1,1,0,0,0,1,0,0,1
GO:0071695,2,1,0,0,0,0,1,0,0
GO:0048469,1,0,0,0,0,0,0,0,0
GO:0021700,2,1,0,0,0,0,1,0,0
GO:0003006,9,1,0,0,0,3,5,1,2
GO:0048609,7,0,0,0,0,2,4,1,0
GO:0022412,5,1,0,0,0,1,3,0,1
GO:0019953,6,0,0,0,0,2,5,1,0
GO:0007276,7,0,0,0,0,2,4,1,0
GO:0048599,1,0,0,0,0,0,0,0,0
GO:0048477,3,0,0,0,0,1,1,0,0
GO:0009994,1,0,0,0,0,0,0,0,0
GO:0007292,3,0,0,0,0,1,1,0,0
GO:0007281,4,0,0,0,0,1,2,0,0
GO:0001556,1,0,0,0,0,0,0,0,0
GO:1903046,3,0,0,0,0,1,2,0,0
GO:0051321,3,0,0,0,0,1,2,0,0
GO:1903537,1,0,0,0,0,0,0,0,0
GO:0098687,7,0,0,0,0,1,3,0,0
GO:0000775,4,0,0,0,0,0,1,0,0
GO:0005819,1,0,0,0,0,0,0,0,0
GO:1990385,1,0,0,0,0,0,0,0,0
GO:0072687,1,0,0,0,0,0,0,0,0
GO:0051233,1,0,0,0,0,0,0,0,0
GO:0043073,1,0,0,0,0,0,0,0,0
GO:0042585,1,0,0,0,0,0,0,0,0
GO:0030496,1,0,0,0,0,0,0,0,0
GO:0001674,1,0,0,0,0,0,0,0,0
GO:0043067,12,1,1,0,0,2,4,0,2
GO:0010941,12,1,1,0,0,2,4,0,2
GO:0042981,12,1,1,0,0,2,4,0,2
GO:0051052,3,0,0,0,0,0,2,0,1
GO:0072359,6,1,0,0,0,1,1,1,1
GO:0007389,3,0,0,0,0,1,3,1,1
GO:0003002,3,0,0,0,0,1,3,1,1
GO:0007507,6,1,0,0,0,1,1,1,1
GO:0044877,6,1,1,0,0,5,5,0,2
GO:0008289,4,1,0,0,0,0,1,0,1
GO:0005543,1,0,0,0,0,0,0,0,0
GO:0043168,5,2,1,0,0,0,1,1,0
GO:1901981,1,0,0,0,0,0,0,0,0
GO:0008092,5,1,0,0,0,6,2,3,6
GO:0051015,1,0,0,0,0,1,2,0,0
GO:0003779,2,0,0,0,0,2,1,0,0
GO:0048871,6,0,0,0,0,1,3,0,0
GO:0051050,6,3,1,0,0,4,4,2,0
GO:0022832,2,1,0,0,0,0,3,0,0
GO:0005244,2,1,0,0,0,0,3,0,0
GO:0022843,2,1,0,0,0,0,3,0,0
GO:0034703,1,1,1,0,0,1,0,0,0
GO:1901682,0,0,0,0,0,0,0,0,2
GO:0046943,2,0,0,0,0,1,1,0,0
GO:0042959,0,0,0,0,0,0,0,0,1
GO:0042910,0,0,0,0,0,0,0,0,1
GO:0015556,0,0,0,0,0,0,0,0,1
GO:0015183,0,0,0,0,0,0,0,0,1
GO:0015179,0,0,0,0,0,0,0,0,1
GO:0015172,2,0,0,0,0,3,0,0,0
GO:0005369,0,0,0,0,0,0,0,0,1
GO:0005368,0,0,0,0,0,0,0,0,1
GO:0005342,2,0,0,0,0,1,1,0,0
GO:0005310,0,0,0,0,0,0,0,0,1
GO:0015849,3,0,0,0,0,1,1,1,1
GO:0016604,12,0,3,0,0,2,6,0,1
GO:0016874,0,0,1,0,0,0,0,0,0
GO:0007267,9,0,2,0,0,2,3,0,0
GO:0099537,7,0,1,0,0,2,0,0,0
GO:0099536,7,0,1,0,0,2,0,0,0
GO:0098916,7,0,1,0,0,2,0,0,0
GO:0007268,7,0,1,0,0,2,0,0,0
GO:0097708,15,3,1,0,0,3,8,3,1
GO:0031410,15,3,1,0,0,3,8,3,1
GO:0007167,4,2,1,0,0,0,5,0,0
GO:0007169,2,1,0,0,0,0,3,0,0
GO:0019898,0,0,0,0,0,1,0,0,0
GO:0005198,3,1,0,0,0,3,1,0,2
GO:1901701,12,3,2,0,0,4,6,1,2
GO:1901700,14,2,3,0,0,8,10,1,2
GO:1901699,5,2,1,0,0,4,3,1,0
GO:1901698,7,3,1,0,0,5,5,1,0
GO:1901653,1,1,0,0,0,0,1,0,0
GO:1901652,0,1,0,0,0,1,1,0,0
GO:0098727,1,0,0,0,0,1,1,0,0
GO:0071495,6,2,2,0,0,4,5,1,0
GO:0071417,4,2,1,0,0,4,2,1,0
GO:0071375,1,1,0,0,0,0,1,0,0
GO:0071310,9,5,1,0,0,7,9,2,2
GO:0070887,14,3,2,0,0,9,8,2,1
GO:0061458,4,1,0,0,0,1,2,0,2
GO:0048646,7,0,0,0,0,4,7,1,3
GO:0048608,4,1,0,0,0,1,2,0,2
GO:0046661,1,0,0,0,0,0,1,0,0
GO:0046546,1,0,0,0,0,0,1,0,0
GO:0045943,1,0,0,0,0,1,1,0,0
GO:0045137,2,0,0,0,0,1,1,0,0
GO:0044089,3,0,0,0,0,0,2,0,2
GO:0044087,5,0,0,0,0,2,3,0,2
GO:0043434,0,1,0,0,0,1,1,0,0
GO:0042221,21,3,4,1,0,13,14,2,2
GO:0032870,0,1,0,0,0,0,1,0,0
GO:0019827,1,0,0,0,0,1,1,0,0
GO:0010243,6,3,1,0,0,5,4,1,0
GO:0010033,17,4,3,0,0,12,11,2,0
GO:0009725,5,0,0,0,0,5,2,0,0
GO:0009719,12,2,2,0,0,9,7,1,0
GO:0008584,1,0,0,0,0,0,1,0,0
GO:0008406,2,0,0,0,0,1,1,0,0
GO:0007548,2,0,0,0,0,1,1,0,0
GO:0006359,2,0,0,0,0,0,0,0,0
GO:0006356,1,0,0,0,0,1,1,0,0
GO:0002064,1,0,0,0,0,0,0,0,0
GO:0051090,2,0,0,0,0,0,2,1,0
GO:0044093,6,2,0,0,0,3,6,1,0
GO:0051092,1,0,0,0,0,0,1,0,0
GO:0051091,1,0,0,0,0,0,2,0,0
GO:0003700,4,0,2,0,0,7,1,1,0
GO:0000981,3,0,2,0,0,2,1,1,0
GO:0098588,8,5,1,0,0,4,5,2,3
GO:0000139,4,0,0,0,0,2,2,1,1
GO:0097367,6,2,1,0,0,0,1,0,1
GO:0004540,0,0,0,0,0,1,0,0,0
GO:0099503,9,3,0,0,0,1,6,0,1
GO:0030141,3,2,0,0,0,0,5,0,0
GO:0060205,2,1,1,0,0,0,1,0,0
GO:0034774,2,0,0,0,0,0,1,0,0
GO:0031983,2,1,1,0,0,0,1,0,0
GO:0005788,1,1,1,0,0,0,0,0,0
GO:0005775,2,0,0,0,0,0,0,0,0
GO:0008375,1,1,0,0,0,0,0,0,0
GO:0120035,3,0,0,0,0,3,0,0,0
GO:0031344,3,0,0,0,0,3,0,0,0
GO:0120032,1,0,0,0,0,0,0,0,0
GO:0060491,1,0,0,0,0,0,0,0,0
GO:0032534,1,0,0,0,0,0,0,0,0
GO:0032530,1,0,0,0,0,0,0,0,0
GO:0045177,4,0,0,0,0,2,4,0,0
GO:0016324,4,0,0,0,0,2,4,0,0
GO:0098858,3,0,0,0,0,2,3,0,0
GO:0031528,1,0,0,0,0,0,0,0,0
GO:0005902,2,0,0,0,0,1,2,0,0
GO:0061564,2,0,0,0,0,0,2,1,1
GO:0001228,2,0,4,0,0,2,1,3,1
GO:0001216,2,0,3,0,0,2,0,3,1
GO:0009611,3,0,1,0,0,1,3,0,0
GO:0060322,5,0,1,0,0,3,3,1,0
GO:0007420,5,0,1,0,0,3,3,1,0
GO:0007417,8,0,1,0,0,4,4,1,0
GO:0009605,3,2,0,0,0,2,3,1,0
GO:2000795,1,0,0,0,0,1,1,0,0
GO:2000794,1,0,0,0,0,1,1,0,0
GO:2000791,1,0,0,0,0,1,1,0,0
GO:2000790,1,0,0,0,0,1,1,0,0
GO:2000647,1,0,0,0,0,1,1,0,0
GO:1903047,9,1,0,0,0,2,5,2,2
GO:0140014,3,0,0,0,0,1,1,0,1
GO:0097485,1,0,0,0,0,1,1,0,0
GO:0072201,1,0,0,0,0,1,1,0,0
GO:0072091,3,0,0,0,0,2,3,0,0
GO:0072089,1,0,0,0,0,1,1,0,0
GO:0071679,1,0,0,0,0,1,1,0,0
GO:0061448,3,0,0,0,0,1,2,0,0
GO:0061351,1,0,0,0,0,1,1,0,0
GO:0061141,1,0,0,0,0,1,1,0,0
GO:0061140,1,0,0,0,0,1,1,0,0
GO:0060689,1,0,0,0,0,1,1,0,0
GO:0060662,1,0,0,0,0,1,1,0,0
GO:0060605,1,0,0,0,0,1,1,0,0
GO:0060541,1,0,0,0,0,1,2,0,0
GO:0060510,1,0,0,0,0,1,1,0,0
GO:0060509,1,0,0,0,0,1,1,0,0
GO:0060487,1,0,0,0,0,1,1,0,0
GO:0060486,1,0,0,0,0,1,1,0,0
GO:0060479,1,0,0,0,0,1,1,0,0
GO:0060428,1,0,0,0,0,1,1,0,0
GO:0060249,6,0,0,0,0,1,3,0,0
GO:0060041,1,0,0,0,0,1,1,2,1
GO:0051707,5,1,0,0,0,1,5,1,0
GO:0051216,3,0,0,0,0,1,2,0,0
GO:0050680,2,0,0,0,0,1,2,0,0
GO:0050678,2,0,0,0,0,1,2,0,0
GO:0048857,1,0,0,0,0,1,1,0,0
GO:0048732,5,0,0,0,0,1,4,0,0
GO:0048665,1,0,0,0,0,1,1,0,0
GO:0048663,1,0,0,0,0,1,2,0,0
GO:0048285,5,0,0,0,0,2,3,0,1
GO:0045165,2,0,2,0,0,1,2,1,0
GO:0044772,2,0,0,0,0,1,2,1,0
GO:0044770,2,0,0,0,0,1,2,1,0
GO:0044419,6,1,0,0,0,1,6,1,0
GO:0043207,5,1,0,0,0,1,5,1,0
GO:0043010,2,0,0,0,0,2,1,2,1
GO:0042330,2,0,0,0,0,1,1,0,0
GO:0042063,3,0,0,0,0,1,1,0,0
GO:0040011,2,0,0,0,0,1,1,0,0
GO:0035295,6,0,0,0,0,3,5,1,0
GO:0035272,2,0,0,0,0,1,3,0,0
GO:0035239,4,0,0,0,0,3,3,0,0
GO:0035148,2,0,0,0,0,2,1,0,0
GO:0031099,1,0,0,0,0,1,1,0,0
GO:0030902,2,0,0,0,0,1,1,0,0
GO:0030900,3,0,1,0,0,1,2,0,0
GO:0030324,1,0,0,0,0,1,1,0,0
GO:0030323,1,0,0,0,0,1,1,0,0
GO:0022612,2,0,0,0,0,1,3,0,0
GO:0021960,1,0,0,0,0,1,1,0,0
GO:0021955,1,0,0,0,0,1,1,0,0
GO:0021954,1,0,0,0,0,1,1,0,0
GO:0021953,1,0,0,0,0,1,1,0,0
GO:0021952,1,0,0,0,0,1,1,0,0
GO:0021846,1,0,0,0,0,1,1,0,0
GO:0021781,1,0,0,0,0,1,1,0,0
GO:0021780,1,0,0,0,0,1,1,0,0
GO:0021740,1,0,0,0,0,1,1,0,0
GO:0021730,1,0,0,0,0,1,1,0,0
GO:0021537,3,0,0,0,0,1,2,0,0
GO:0014009,1,0,0,0,0,1,1,0,0
GO:0010464,1,0,0,0,0,1,1,0,0
GO:0010458,1,0,0,0,0,1,1,0,0
GO:0010001,3,0,0,0,0,1,1,0,0
GO:0009617,5,0,0,1,0,2,4,1,0
GO:0009607,5,1,0,0,0,1,5,1,0
GO:0008285,3,3,0,1,0,1,5,0,0
GO:0008283,6,0,1,0,0,3,6,3,2
GO:0007435,2,0,0,0,0,1,3,0,0
GO:0007431,2,0,0,0,0,1,3,0,0
GO:0007411,1,0,0,0,0,1,1,0,0
GO:0007409,3,0,0,0,0,1,3,1,1
GO:0006935,2,0,0,0,0,1,1,0,0
GO:0002067,1,0,0,0,0,1,1,0,0
GO:0002065,2,0,0,0,0,1,1,0,0
GO:0002062,2,0,0,0,0,1,2,0,0
GO:0001894,6,0,0,0,0,1,3,0,0
GO:0001708,1,0,1,0,0,1,2,0,0
GO:0000280,5,0,0,0,0,2,3,0,1
GO:0000278,10,1,1,0,0,2,7,2,4
GO:0044300,1,0,0,0,0,1,1,0,0
GO:0044843,1,0,0,0,0,0,0,0,0
GO:0000082,1,0,0,0,0,0,0,0,0
GO:0016776,2,0,0,0,0,1,0,0,2
GO:0004550,2,0,0,0,0,1,0,0,2
GO:0052689,1,0,0,0,0,1,0,0,0
GO:0036211,14,1,1,0,0,5,7,1,1
GO:0070647,4,1,0,0,0,1,2,0,0
GO:0032446,4,1,0,0,0,1,2,0,0
GO:0006766,2,0,0,0,0,0,2,0,0
GO:0072524,3,0,0,0,0,0,0,0,0
GO:1901615,2,0,1,0,0,1,0,1,0
GO:0006081,1,0,0,0,0,0,0,0,0
GO:1901617,1,0,0,0,0,0,0,0,0
GO:0030258,1,0,0,0,0,0,2,0,0
GO:0046839,0,0,0,0,0,0,1,0,0
GO:0016311,2,0,0,0,0,4,2,1,0
GO:0015850,1,0,0,0,0,0,1,0,0
GO:0031966,0,2,0,0,0,0,0,0,2
GO:0005743,0,2,0,0,0,1,0,0,2
GO:0005740,0,2,0,0,0,0,0,0,2
GO:0098803,1,0,0,0,0,0,0,0,0
GO:0070469,1,0,0,0,0,0,0,0,0
GO:1990204,1,0,0,0,0,0,0,0,0
GO:0071554,1,1,0,0,0,0,1,0,1
GO:0042546,1,1,0,0,0,0,1,0,1
GO:0048870,7,1,0,1,0,1,3,1,2
GO:0060294,1,0,0,1,0,0,1,1,0
GO:0060285,1,0,0,1,0,0,1,1,0
GO:0001539,1,0,0,1,0,0,1,1,0
GO:0030659,4,4,1,0,0,2,5,1,1
GO:0012506,4,4,1,0,0,2,5,1,1
GO:0099501,1,1,0,0,0,1,1,0,0
GO:0098793,3,3,1,0,0,1,2,0,1
GO:0070382,2,1,0,0,0,1,1,0,1
GO:0030672,1,1,0,0,0,1,1,0,0
GO:0030658,2,1,0,0,0,1,2,0,0
GO:0030133,4,1,0,0,0,1,2,0,1
GO:0008021,2,1,0,0,0,1,1,0,1
GO:0050878,1,0,0,0,0,0,1,0,1
GO:0050839,0,1,0,0,0,1,2,0,0
GO:0060589,3,2,0,0,0,3,1,4,5
GO:0030695,3,2,0,0,0,3,1,4,5
GO:0008284,3,1,0,0,0,1,5,0,0
GO:1902533,5,2,1,0,0,2,4,1,3
GO:0016477,6,0,0,0,0,1,2,0,1
GO:0060341,4,1,0,0,0,2,5,1,0
GO:0032880,3,1,0,0,0,1,5,1,0
GO:0090066,0,0,0,1,0,1,0,0,0
GO:0051336,3,0,0,0,0,1,3,3,6
GO:0043087,0,0,0,0,0,1,0,3,4
GO:0043085,6,1,0,0,0,2,4,0,2
GO:0045937,3,1,0,0,0,1,3,0,0
GO:0042327,3,1,0,0,0,1,3,0,0
GO:0010562,3,1,0,0,0,1,3,0,0
GO:0003013,1,0,0,1,0,0,1,0,0
GO:0051129,6,0,0,0,0,3,2,1,0
GO:2000146,1,1,0,0,0,0,3,0,0
GO:1990778,0,1,0,0,0,1,1,0,0
GO:1905476,1,0,0,0,0,1,1,0,0
GO:1905475,1,0,0,0,0,1,1,0,0
GO:1904950,0,0,0,0,0,0,2,0,0
GO:1903828,1,0,0,0,0,1,3,0,0
GO:0150116,1,0,0,0,0,0,0,0,0
GO:0097746,0,0,0,1,0,0,0,0,0
GO:0090317,0,0,0,0,0,0,2,0,0
GO:0072659,0,1,0,0,0,1,1,0,0
GO:0071774,1,0,0,0,0,0,2,0,0
GO:0071363,3,0,1,0,0,1,3,0,0
GO:0070848,3,0,1,0,0,1,3,0,0
GO:0070373,0,0,0,0,0,0,1,0,0
GO:0070372,2,0,0,0,0,1,2,1,1
GO:0070201,2,1,0,0,0,0,4,1,0
GO:0051897,1,1,0,0,0,0,1,0,0
GO:0051896,1,1,0,0,0,0,1,0,0
GO:0051347,1,1,0,0,0,1,1,0,0
GO:0051247,8,1,0,0,0,1,5,0,1
GO:0051224,0,0,0,0,0,0,2,0,0
GO:0051223,2,1,0,0,0,0,4,1,0
GO:0051100,0,0,0,0,0,0,1,0,0
GO:0051098,0,0,0,0,0,0,1,0,0
GO:0051051,1,1,0,1,0,0,4,0,0
GO:0050673,0,0,1,0,0,0,1,0,0
GO:0048514,1,0,0,0,0,0,1,0,0
GO:0045860,1,1,0,0,0,1,1,0,0
GO:0044344,1,0,0,0,0,0,2,0,0
GO:0043537,1,0,0,0,0,0,1,0,0
GO:0043535,1,0,0,0,0,0,1,0,0
GO:0040013,1,1,0,0,0,0,3,0,0
GO:0035296,0,0,0,1,0,0,0,0,0
GO:0035150,0,0,0,1,0,0,0,0,0
GO:0033674,1,1,0,0,0,1,1,0,0
GO:0033157,1,0,0,0,0,0,3,0,0
